key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
"SHMELKIN R, 2021, ",Generating master faces for dictionary attacks with a network-assisted latent space evolution,Shmelkin R;Wolf L;Friedlander T,"PROCEEDINGS - 2021 16TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION, FG 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125099244&doi=10.1109%2fFG52635.2021.9666968&partnerID=40&md5=7da188fdea8b66ec07ddc5e52b72834e,"A master face is a face image that passes face-based identity-authentication for a large portion of the population. These faces can be used to impersonate, with a high probability of success, any user, without having access to any user-information. We optimize these faces, by using an evolutionary algorithm in the latent embedding space of the stylegan face generator. Multiple evolutionary strategies are compared, and we propose a novel approach that employs a neural network in order to direct the search in the direction of promising samples, without adding fitness evaluations. The results we present demonstrate that it is possible to obtain a high coverage of the lfw identities (over 40%) with less than 10 master faces, for three leading deep face recognition systems. © 2021 ieee.",ENGLISH,10.1109/FG52635.2021.9666968,biometrics;  face recognition; dictionary attack;  embeddings;  face images;  fitness evaluations;  high probability;  identity authentication;  multiple evolutionary strategies;  neural-networks;  probability of success;  user information; evolutionary algorithms
"KNOCHE M, 2021, ",Cross-quality lfw: a database for analyzing cross- resolution image face recognition in unconstrained environments,Knoche M;Hormann S;Rigoll G,"PROCEEDINGS - 2021 16TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION, FG 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125092739&doi=10.1109%2fFG52635.2021.9666960&partnerID=40&md5=aa1c9007732f553ed66d2902b4f3d028,"Real-world face recognition applications often deal with suboptimal image quality or resolution due to different capturing conditions such as various subject-to-camera distances, poor camera settings, or motion blur. This characteristic has an unignorable effect on performance. Recent cross-resolution face recognition approaches used simple, arbitrary, and unrealistic down- and up-scaling techniques to measure robustness against real-world edge-cases in image quality. Thus, we propose a new standardized benchmark dataset and evaluation protocol derived from the famous labeled faces in the wild (lfw). In contrast to previous derivatives, which focus on pose, age, similarity, and adversarial attacks, our cross-quality labeled faces in the wild (xqlfw) maximizes the quality difference. It contains only more realistic synthetically degraded images when necessary. Our proposed dataset is then used to further investigate the influence of image quality on several state-of-the-art approaches. With xqlfw, we show that these models perform differently in cross-quality cases, and hence, the generalizing capability is not accurately predicted by their performance on lfw. Additionally, we report baseline accuracy with recent deep learning models explicitly trained for cross-resolution applications and evaluate the susceptibility to image quality. To encourage further research in cross-resolution face recognition and incite the assessment of image quality robustness, we publish the database and code for evaluation.11code, dataset and evaluation protocol available on https://martlgap.github.io/xqlfw © 2021 ieee.",ENGLISH,10.1109/FG52635.2021.9666960,cameras;  computer vision;  deep learning;  face recognition;  quality control; camera motions;  camera settings;  condition;  evaluation protocol;  motion blur;  performance;  real-world;  resolution images;  simple++;  unconstrained environments; image quality
"MATHUR L, 2021, ",Affect-aware deep belief network representations for multimodal unsupervised deception detection,Mathur L;Mataric Mj,"PROCEEDINGS - 2021 16TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION, FG 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125074972&doi=10.1109%2fFG52635.2021.9667050&partnerID=40&md5=23c5ea9163a1d58b1c18a410c4e4db98,"Automated systems that detect the social behavior of deception can enhance human well-being across medical, social work, and legal domains. Labeled datasets to train supervised deception detection models can rarely be collected for real-world, high -stakes contexts. To address this challenge, we propose the first unsupervised approach for detecting realworld, high-stakes deception in videos without requiring labels. This paper presents our novel approach for affect-aware unsupervised deep belief networks (dbn) to learn discriminative representations of deceptive and truthful behavior. Drawing on psychology theories that link affect and deception, we experimented with unimodal and multimodal dbn-based approaches trained on facial valence, facial arousal, audio, and visual features. In addition to using facial affect as a feature on which dbn models are trained, we also introduce a dbn training procedure that uses facial affect as an aligner of audio-visual representations. We conducted classification experiments with unsupervised gaussian mixture model clustering to evaluate our approaches. Our best unsupervised approach (trained on facial valence and visual features) achieved an avc of 80%, outperforming human ability and performing comparably to fully-supervised models. Our results motivate future work on unsupervised, affect-aware computational approaches for detecting deception and other social behaviors in the wild. © 2021 ieee.",ENGLISH,10.1109/FG52635.2021.9667050,automation;  computer vision;  deep learning;  gaussian distribution;  social behavior; automated systems;  deception detection;  deep belief networks;  multi-modal;  network representation;  real-world;  social behaviour;  unsupervised approaches;  visual feature;  well being; computation theory
"RUIZ N, 2021, ",Leveraging affect transfer learning for behavior prediction in an intelligent tutoring system,Ruiz N;Yu H;Allessio Da;Jalal M;Joshi A;Murray T;Magee Jj;Whitehill Jr;Ablavsky V;Arroyo I;Woolf Bp;Sclaroff S;Betke M,"PROCEEDINGS - 2021 16TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION, FG 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125067384&doi=10.1109%2fFG52635.2021.9667001&partnerID=40&md5=9f1fedf616c483a62dad9edd0e7a24ea,"In this work, we propose a video-based transfer learning approach for predicting problem outcomes of students working with an intelligent tutoring system (its). By analyzing a student's face and gestures, our method predicts the outcome of a student answering a problem in an its from a video feed. Our work is motivated by the reasoning that the ability to predict such outcomes enables tutoring systems to adjust interventions, such as hints and encouragement, and to ultimately yield improved student learning. We collected a large labeled dataset of student interactions with an intelligent online math tutor consisting of 68 sessions, where 54 individual students solved 2, 749 problems. We will release this dataset publicly upon publication of this paper. It will be available at https://www.cs.bu.edu/faculty/betke/research/learning/. Working with this dataset, our transfer-learning challenge was to design a representation in the source domain of pictures obtained 'in the wild' for the task of facial expression analysis, and transferring this learned representation to the task of human behavior prediction in the domain of webcam videos of students in a classroom environment. We developed a novel facial affect representation and a user-personalized training scheme that unlocks the potential of this representation. We designed several variants of a recurrent neural network that models the temporal structure of video sequences of students solving math problems. Our final model, named atl-bp for affect transfer learning for behavior prediction, achieves a relative increase in mean f -score of 50 % over the state-of-the-art method on this new dataset. © 2021 ieee.",ENGLISH,10.1109/FG52635.2021.9667001,behavioral research;  computer aided instruction;  education computing;  forecasting;  http;  intelligent vehicle highway systems;  large dataset;  recurrent neural networks; behavior prediction;  facial expressions analysis;  human behaviors;  intelligent tutoring;  labeled dataset;  learning approach;  student interactions;  student learning;  transfer learning;  tutoring system; students
"JIANG S, 2021, ",Two-stream gabor-agraph convolutional networks for facial expression recognition,Jiang S;Xu X;Xing X;Wang L;Liu F,"PROCEEDINGS - 2021 16TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION, FG 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125040087&doi=10.1109%2fFG52635.2021.9666935&partnerID=40&md5=a17d736cbe928eca55b1e4b58c64dd67,"Facial expression recognition (fer) has recently attracted much attention in computer vision. However, existing methods mostly focus on the texture information of faces and overlook their inherent topological features. Hence more informative and significant contents are ignored for expression recognition. In this work, we propose a two-stream gabor-agraph convolutional network (2s-gagcn) to exploit the facial texture and topological features simultaneously. The gabor stream and the attention-graph (agraph) stream are respectively introduced to capture the salient visual properties and discriminative landmark features of faces. In particular, we adopt a flexible node attention mechanism in agraph stream through utilizing global and local information to enhance the potential relationships among landmarks. Furthermore, a novel landmark feature descriptor is proposed to alleviate the redundant topological features, which shows promising improvement for the recognition accuracy. We conduct extensive experiments on two wild datasets: raf-db and sfew. The results show that the proposed 2s-gagcn achieves superior performance against the state-of-the-art methods. © 2021 ieee.",ENGLISH,10.1109/FG52635.2021.9666935,computer vision;  convolutional neural networks;  face recognition;  gesture recognition;  textures;  topology; attention mechanisms;  convolutional networks;  expression recognition;  facial expression recognition;  facial textures;  texture features;  texture information;  topological features;  two-stream;  visual properties; convolution
"BISHAY M, 2021, ",Which cnns and training settings to choose for action unit detection? A study based on a large-scale dataset,Bishay M;Ghoneim A;Ashraf M;Mavadati M,"PROCEEDINGS - 2021 16TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION, FG 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125039076&doi=10.1109%2fFG52635.2021.9667083&partnerID=40&md5=81975c4d2b8518368baf5a45af970549,"In this paper we explore the influence of some frequently used convolutional neural networks (cnns), training settings, and training set structures, on action unit (au) detection. Specifically, we first compare 10 different shallow and deep cnns in au detection. Second, we investigate how the different training settings (i.e. Centering/normalizing the inputs, using different augmentation severities, and balancing the data) impact the performance in au detection. Third, we explore the effect of increasing the number of labelled subjects and frames in the training set on the au detection performance. These comparisons provide the research community with useful tips about the choice of different cnns and training settings in au detection. In our analysis, we use a large-scale naturalistic dataset, consisting of 55k videos captured in the wild. To the best of our knowledge, there is no work that had investigated the impact of such settings on a large-scale au dataset. © 2021 ieee.",ENGLISH,10.1109/FG52635.2021.9667083,computer vision;  large dataset; action unit;  convolutional neural network;  data impact;  detection performance;  large-scale datasets;  large-scales;  neural networks trainings;  neural training;  performance;  training sets; convolutional neural networks
"SENTHILKUMAR V, 2021, ",Application of ai and computer vision to face mask and social distance detection in cctv video streams,Senthilkumar V;Kanagaraj G;Primya T;Joycema J;Joan Mb;Vicram Ja,"2021 INTERNATIONAL CONFERENCE ON ADVANCEMENTS IN ELECTRICAL, ELECTRONICS, COMMUNICATION, COMPUTING AND AUTOMATION, ICAECA 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125018931&doi=10.1109%2fICAECA52838.2021.9675746&partnerID=40&md5=bd58430ee689f824091b4e875e3d8d51,"According to the figures obtained by the department of health (doh), covid-19, the worldwide pandemic, has had an enormous global impact, infecting a growing population and causing over three million fatalities.because of the global epidemic, governments all over the world were obliged to institute lockdowns in order to prevent virus transmission. The use of face masks and safe social distance, according to sources, are two of the best safety precautions to be observed by the public to avoid the transmission of the virus. Modern deep neural network models are combined with geometrical approaches to develop a strong model that incorporates three components of the system's detection, monitoring, and testing. As a consequence, the technique presented saves time while reducing corona virus transmission.it might be used efficiently in the current circumstances, where lockdown is being loosened in order to inspect people at public meetings, retail malls, and other locations. Automated inspection saves time and money by reducing the number of people needed to examine the public, and it can be used everywhere to ensure safety. © 2021 ieee.",ENGLISH,10.1109/ICAECA52838.2021.9675746,computer vision;  transmissions;  video streaming; applications of ai;  deep learning;  department of healths;  distances detections;  face masks;  global impacts;  mobilenetv2;  saves time;  social distance;  virus transmission; deep neural networks
"PARMAR VP, 2021, ",Efficient sea water purification using hybrid nanofiltration system and ml for optimization,Parmar Vp;Dhruv Aj,"PROCEEDINGS - 2021 1ST IEEE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND MACHINE VISION, AIMV 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125018490&doi=10.1109%2fAIMV53313.2021.9670922&partnerID=40&md5=852240293770095524afa34a401cbcf6,"The earth has an abundance of water, about 70 percent of the globe is covered with water, wherein only 2.5 percent of freshwater is available for human usage. Due to the major issue of over-population and lack of pure water bodies, the problem of pure water scarcity has reached it's peak. Hence, there is a demand of a system wherein efficiently pure water can be processed and there is a smooth flow of pure water. We have proposed a model which is cost-effective, environmental friendly, and responsive to the limitations of existing desalination and filtration plants making it an absolute system. The proposed model is 3 layer hybrid system, which is interconnected and is sequential. The system is a combination of sedimentation, amyloid carbon hybrid membranes and graphene oxide technology for complete purification of seawater. This paper presents a comparison between the existing techniques with our proposed model resolving better aspects. Additionally, the paper consists of the laboratory tested results of seawater, groundwater and tap water and by the analysis of that result we have shown the amount of purification required for seawater. As membranes are very sensitive and it is needed to change with time, we have proposed the machine learning approach which will look after the saline water which is coming inside the system and will keep track on water quality of incoming water. Also, we will use supervised algorithms and computer vision which will keep watch on membranes and will give alert when there is need to clean the membrane which will reduce the chance of changing them frequently. And hence this ai technology will increase the efficiency of the model. © 2021 ieee.",ENGLISH,10.1109/AIMV53313.2021.9670922,cost effectiveness;  desalination;  graphene;  groundwater;  hybrid systems;  machine learning;  purification;  water filtration;  water quality;  water treatment plants; fresh water;  is costs;  machine-learning;  nanofilters;  optimisations;  pure water;  sea water;  water purification;  water scarcity;  waterbodies; seawater
"BHARATI V, 2021, ",A deep neural network machine vision application for preventing wildlife-human conflicts,Bharati V,"PROCEEDINGS - 2021 1ST IEEE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND MACHINE VISION, AIMV 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125016516&doi=10.1109%2fAIMV53313.2021.9671013&partnerID=40&md5=2d5c5de0c6cf4d738a3b083547d79128,"Most wildlife-human conflicts can be prevented if humans, who could potentially be affected, can be alerted about the presence of wildlife nearby so that they can take avoidance measures. The alerts must be accurate and timely so that such measures can be taken. We propose a deep neural network consisting of two stages, that we call 'wildlifenet', to automatically detect the presence of specific wildlife. Wildlifenet is optimized for low power and low memory so that it can be embedded in edge devices such as surveillance cameras or low cost special-purpose cameras. The first stage in wildlifenet is an object detection system using the mobilenet model in tensorflow that detects animals in an image. This is followed by our custom convolutional neural network classification system that identifies specific animal species from the animals detected in the first stage. Wildlifenet uses images from surveillance cameras or low cost cameras placed near typical animal paths to detect the presence of wildlife. The components surrounding wildlifenet in the machine vision system presented in this paper can quickly alert those living near the specific location where detections occur via their mobile phones. The custom convolutional neural network model in wildlifenet's second stage was trained using a large number of coyote images from the caltech wildlife image dataset to demonstrate its usefulness in detecting specific wildlife. We observed a consistently high accuracy of coyote detection with a potential towards even higher accuracies with user feedback. Therefore, this system is a viable candidate for consideration as an effective, fast, low-cost technology to assist in preventing wildlife-human conflicts. © 2021 ieee.",ENGLISH,10.1109/AIMV53313.2021.9671013,cameras;  computer vision;  convolution;  convolutional neural networks;  costs;  deep neural networks;  image classification;  large dataset;  machine components;  object detection;  security systems; convolutional neural network;  high-accuracy;  images classification;  low-costs;  machine-vision;  mobile notification;  neural-networks;  surveillance cameras;  two-stage neural network;  wildlife-human conflicts; animals
"DIPU NM, 2021, ",Bangla optical character recognition (ocr) using deep learning based image classification algorithms,Dipu Nm;Shohan Sa;Salam Kma,"24TH INTERNATIONAL CONFERENCE ON COMPUTER AND INFORMATION TECHNOLOGY, ICCIT 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125015703&doi=10.1109%2fICCIT54785.2021.9689864&partnerID=40&md5=06f9150d2db637de61a20042823be64f,"Optical character recognition (ocr) refers to the process of converting images of printed, typed, or handwritten text into machine-readable text. Ocr is one of the most widely researched topics in the field of computer vision. Furthermore, highly accurate, and sophisticated optical character recognition systems have been built for most of the major languages of the world such as english, french, german, mandarin, etc. However, despite having 300 million native speakers (4.00% of the world population) and being the 5th most spoken language of the world, the bengali language still does not have a state-of-the-art ocr system. Moreover, most of the existing systems are not able to recognize compound letters. This study strives to resolve this issue by proposing three neural network based image classification models for bangla ocr. These models are inception v3, vgg16, and vision transformer. These models have been trained on the banglalekha-isolated dataset that contains 98,950 images of bengali characters (vowels, consonants, digits, compound letters). The accuracy provided by the vgg-16, inception v3, and vision transformer on the test set are 98.65%, 97.82%, and 96.88% respectively. Each of these models is much more accurate than the existing systems. Real-time implementation of these three models will be instrumental in building a state-of-the-art bangla ocr system. © 2021 ieee.",ENGLISH,10.1109/ICCIT54785.2021.9689864,deep learning;  electric transformer testing;  linguistics;  optical character recognition;  real time control; bangla optical character recognition;  cnn;  deep learning;  existing systems;  images classification;  inception v3;  optical character recognition system;  state of the art;  vgg-16;  vision transformer; image classification
"DARMON F, 2021, ",Deep multi-view stereo gone wild,Darmon F;Bascle B;Devaux Jc;Monasse P;Aubry M,"PROCEEDINGS - 2021 INTERNATIONAL CONFERENCE ON 3D VISION, 3DV 2021",NA,NA,NA,484-493,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125012554&doi=10.1109%2f3DV53792.2021.00058&partnerID=40&md5=43abcadfb9684cd625277bcce049c60e,"Deep multi-view stereo (mvs) methods have been developed and extensively compared on simple datasets,where they now outperform classical approaches. In this paper,we ask whether the conclusions reached in controlled scenarios are still valid when working with internet photo collections. We propose a methodology for evaluation and explore the influence of three aspects of deep mvs methods: network architecture,training data,and supervision. We make several key observations,which we extensively validate quantitatively and qualitatively,both for depth prediction and complete 3d reconstructions. First,complex unsupervised approaches cannot train on data in the wild. Our new approach makes it possible with three key elements: upsampling the output,softmin based aggregation and a single reconstruction loss. Second,supervised deep depthmap-based mvs methods are state-of-the art for reconstruction of few internet images. Finally,our evaluation provides very different results than usual ones. This shows that evaluation in uncontrolled scenarios is important for new architectures. © 2021 ieee.",ENGLISH,10.1109/3DV53792.2021.00058,computer vision;  deep learning;  image reconstruction;  stereo image processing; 3d reconstruction;  classical approach;  dataset;  deep learning;  internet photo collections;  multi-view stereo;  simple++;  stereo method;  training data; network architecture
"REYES JLM, 2021, ",Classification of bean (phaseolus vulgaris l.) Landraces with heterogeneous seed color using a probabilistic representation,Reyes Jlm;Mesa Hga;Bolanos Ena;Meza Sh;Ramirez Nc;Servia Jlc,"2021 23RD IEEE INTERNATIONAL AUTUMN MEETING ON POWER, ELECTRONICS AND COMPUTING, ROPEC 2021",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124976987&doi=10.1109%2fROPEC53248.2021.9668106&partnerID=40&md5=209a8457a9cabfe711ebccbb56125b07,"Two of the most used techniques to characterize color in common bean landraces have been spectrophotometry and color analysis in digital images. The main limitation in previous works has mainly been that data have been obtained from specific points of homogeneous regions or mean of regions. A particular characteristic of native bean populations is that they comprise not only seeds of different colors but also of heterogeneous colors. We propose a computer vision system based on the use of histograms to represent the color properties from joint probability distributions of acquired color spaces that come from digital images in rgb and cie 1976 l∗a∗b∗. We used 54 common bean landraces collected in different regions of the state of oaxaca, mexico. The classification accuracy of k-nn algorithm was 68.24%, 44.44%, and 53.80% with the spectrophotometer measures, rgb averages, and cie 1976 l∗a∗b∗ averages respectively, while this same classifier achieved an average of 80% with histograms. Our results suggest that the two components regarding the chromaticity in cie 1976 l∗a∗b∗ are enough to achieve the highest classification accuracy. Our proposal is not exclusive to classifying bean landraces; it might be used for fruit or vegetable color assessment. © 2021 ieee.",ENGLISH,10.1109/ROPEC53248.2021.9668106,computer vision;  graphic methods;  machine learning;  probability distributions; bean landrace;  classification accuracy;  common beans;  digital image;  hue;  landraces;  machine-learning;  phaseolus vulgaris;  probabilistic representation;  seed colors; color
"LI J, 2021, -a-b",Supervised classification of plant image based on attention mechanism,Li J;Yang J,ICSAI 2021 - 7TH INTERNATIONAL CONFERENCE ON SYSTEMS AND INFORMATICS,NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124938087&doi=10.1109%2fICSAI53574.2021.9664220&partnerID=40&md5=719efcc02698ccb1d68c31706f25364f,"In view of the wide variety of plants on the earth, the plant species identification is particularly necessary to protect and preserve biodiversity. In this work, we propose a plant image classification method based on the encoder-decoder model with additive attention mechanism to extract plant image features and convert them into text descriptions related to plant features. In a well-trained network, it can successfully classify on the species of the generated plant texts. We show that, the proposed method not only equalizes the results of deep convolutional neural network on classification task, but also uses of the prior information of botanists in classification, and thus provide a significant prediction result. © 2021 ieee.",ENGLISH,10.1109/ICSAI53574.2021.9664220,biodiversity;  character recognition;  classification (of information);  convolutional neural networks;  deep neural networks;  supervised learning;  text processing; attention mechanisms;  classification methods;  component;  deep learning;  image-based;  images classification;  plant recognition;  plant species identification;  supervised classification;  text classification; image classification
"B. M. S, 2021, ",Neural network based intelligent traffic system,B. M. S;Gupta V;Kedia A;Asawa L;Subramanian K,"PROCEEDINGS OF THE 11TH IEEE INTERNATIONAL CONFERENCE ON INTELLIGENT DATA ACQUISITION AND ADVANCED COMPUTING SYSTEMS: TECHNOLOGY AND APPLICATIONS, IDAACS 2021",NA,2,NA,1101-1107,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124794486&doi=10.1109%2fIDAACS53288.2021.9660846&partnerID=40&md5=8aea6158db7294cc6e3430d90da66590,"As years pass by, population and vehicular mobility in most of the cities are rapidly growing which leads to a lot of traffic congestion at junctions. This also makes lots of emergency vehicles like ambulance, firefighters, etc to stand in traffic snarls which leads to loss of life during the delay of these vehicles. This paper outlines the development of the intelligent traffic system (its) prototype by providing solutions to these problems which can handle traffic congestion at right time without manual intervention. Its uses a neural network model and internet of things (iot) unit to calculate the number of vehicles and emergency vehicles in the traffic lanes and then control the traffic signal based on it. A neural model algorithm is designed in such a way that the model is capable of detecting the ambulance from the live video as well as still images. Eventually, the iot unit will provide the density of the vehicles in each lane and accordingly allocate the timing for signal transition in the following sequence: red, yellow, green, and the cycle repeats. © 2021 ieee.",ENGLISH,10.1109/IDAACS53288.2021.9660846,ambulances;  emergency traffic control;  internet of things;  neural networks;  traffic signals; computer networking;  intelligent traffic systems;  loss of life;  manual intervention;  network-based;  neural-networks;  raspberry pi;  system prototype;  system use;  vehicular mobilities; traffic congestion
"ROSLI SA, 2021, ",Ucash: a new letter chart for super acuity investigation of indigenous people,Rosli Sa;Ahmad A;Hoe Cyw;Chen Ah,"ICECIE 2021 - 2021 INTERNATIONAL CONFERENCE ON ELECTRICAL, CONTROL AND INSTRUMENTATION ENGINEERING, CONFERENCE PROCEEDINGS",NA,NA,NA,NA,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124707165&doi=10.1109%2fICECIE52348.2021.9664741&partnerID=40&md5=d863845b4ad732802c0f4d2dc7b555c8,"Normal population has an average acuity of 6/6 or better, depending on age and other factors. However, super acuity phenomena have been frequently reported among indigenous people in numerous parts of the world. Up to now, far too little attention has been paid to develop specific letter charts to quantify super acuity. Most of the letter charts are fabricated to estimate recognition acuity up to 6/6. This paper describes a new letter chart for super acuity investigation of indigenous people with three distinct features. Uitm chen-azmir-saiful-hoe (ucash) is a super-acuity letter chart designed to quantify the recognition acuity up to 3/0.5 or 6/1 snellen notation. Ucash is constructed using single letter display design for a 3-meter testing distance. Four neighbouring contour bars are incorporated to simulate crowding effect and control the accommodation during acuity measurements. Each acuity level of ucash has an equal optotype combination that takes into consideration the optical blur from spherical, against-the-rule astigmatism; with-the-rule astigmatism; and oblique astigmatism defocus stimulation. Ucash involves two letters from 3/30 to 3/15 or 6/60 to 6/30 of snellen notations and five letters from 3/12 to 3/0.5 or 6/24 to 6/1 of snellen notations. Ucash is available in both hardcopy printout and electronic versions. The electronic option allows data to be automatically converted and formatted in spreadsheet outputs. The electronic mode saves chair-times and overcomes data loss, insufficient physical storage, and paper waste issues. Ucash is a useful super-acuity investigation tool for indigenous people who usually reside in extreme remote locations worldwide. © 2021 ieee.",ENGLISH,10.1109/ICECIE52348.2021.9664741,vision; crowding effects;  display designs;  indigenous people;  letter chart;  meters testing;  optotype;  super acuity;  uchas;  vision screening;  visual acuity; digital storage; charts;  control systems;  data;  displays;  distance;  letters;  testing;  waste papers
"GUNASEKARA S, 2021, ",A convolutional neural network based early warning system to prevent elephant-train collisions,Gunasekara S;Jayasuriya M;Harischandra N;Samaranayake L;Dissanayake G,"2021 IEEE 16TH INTERNATIONAL CONFERENCE ON INDUSTRIAL AND INFORMATION SYSTEMS, ICIIS 2021 - PROCEEDINGS",NA,NA,NA,271-276,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124698503&doi=10.1109%2fICIIS53135.2021.9660651&partnerID=40&md5=b01949161edffc87f56076052d505b8a,"One serious facet of the worsening human-elephant conflict (hec) in nations such as sri lanka involves elephant-train collisions. Endangered asian elephants are maimed or killed during such accidents, which also often results in orphaned or disabled elephants. Furthermore, railway services incur significant financial losses and disruptions to services annually due to such accidents. Most elephant-train collisions occur due to a lack of adequate reaction time due to poor driver visibility at sharp turns, night-time operation, and poor weather conditions. Initial investigations also indicate that most collisions occur in localised 'hotspots' where elephant pathways/corridors intersect with railway tracks. Taking these factors into consideration, this work proposes the leveraging of recent developments in convolutional neural network (cnn) technology to detect elephants using an rgb/infrared capable camera, around known hotspots along the railway track. The cnn was trained using a curated dataset of elephants collected on field visits to elephant sanctuaries and wildlife parks in sri lanka. With this vision-based detection system at its core, a prototype unit of an early warning system was designed and tested. Initial results indicate that detection accuracy is sufficient under varying lighting situations, provided that comprehensive training datasets that represent a wide range of challenging conditions are available. The overall hardware prototype was shown to be robust and reliable. We envision a network of such units may help contribute to reducing the problem of elephanttrain collisions and has the potential to act as an important surveillance mechanism in dealing with the broader issue of the human-elephant conflict. © 2021 ieee.",ENGLISH,10.1109/ICIIS53135.2021.9660651,computer vision;  convolution;  deep learning;  losses;  object detection;  railroad accidents;  railroad tracks;  railroad transportation;  railroads; convolutional neural network;  deep learning;  early warning system;  hotspots;  human-elephant conflicts;  network-based;  objects detection;  railway services;  railway track;  sri lanka; convolutional neural networks
"THILAKASIRI LBIP, 2021, ",Integrated video based crowdedness forecasting framework with a review of crowd counting models,Thilakasiri Lbip;Alwis Dmpm;Nanayakkara Rt;Godaliyadda Gmri;Ekanayake Mpb;Herath Hmvr;Ekanayake Jb,"2021 IEEE 16TH INTERNATIONAL CONFERENCE ON INDUSTRIAL AND INFORMATION SYSTEMS, ICIIS 2021 - PROCEEDINGS",NA,NA,NA,29-34,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124697255&doi=10.1109%2fICIIS53135.2021.9660701&partnerID=40&md5=b2ad947818f255cba9ba31ed9ac1c9e1,"Crowd counting and forecasting is an important problem amidst covid 19 circumstances. A unified system to automate crowd monitoring, collect data about crowdedness and predict future crowds is presented in this paper. An evaluation of existing state-of-the-art crowd counting algorithms on a novel dataset is conducted in the first part of the paper, which demonstrates the shortcomings of these algorithms. Several novel algorithms, including a densely connected neural network, convolutional neural network, and a long short term memory based recurrent neural network, for predicting crowd counts in the near and distant future are presented afterwards in the second half of the paper. © 2021 ieee.",ENGLISH,10.1109/ICIIS53135.2021.9660701,convolutional neural networks;  recurrent neural networks; convolutional neural network;  counting models;  crowd counting;  crowd population forecasting;  distant futures;  evaluation;  neural-networks;  novel algorithm;  state of the art;  unified system; forecasting
